Case Number,Month,Day,Year,Country,Region,Attack Location,Provoked (Y/N),Injury Description,Fatal (Y/N),Victim_Gender,Activity,Investigator or Source
2000.06.30,Jun,30,2000,papua new guinea,madang province,"long island near madang, about 500 km (310 miles) north of the south pacific nation's capital of port moresby",Unprovoked,FATAL,y,m,,Squali.org
2000.06.19,Jun,19,2000,usa,florida,seminole avenue,Unprovoked,Right ankle lacerated,n,m,Standing,"S. Petersohn, GSAF; M. I. Johnson, Daytona Beach News Journal; Orlando Sentinel, 6/20/2000, p.D3"
2000.06.10,Jun,10,2000,usa,texas,"j.p. luby surf park, corpus christi",Unprovoked,Foot lacerated,n,m,Surfing,GSAF
2000.04.14,Apr,14,2000,usa,florida,on the south side of ponce inlet,Unprovoked,Left foot lacerated,n,m,Walking,"Scott Petersohn, GSAF; M. Johnson; Daytona Beach News-Journal, 4/16/2000, p.3B"
2000.03.31,Mar,31,2000,usa,florida,santa rosa sound escambia county,Unprovoked,"No Injury, bumped by shark",n,m,Fishing,"R. Aiden Martin, GSAF; Pensacola News Journal & Orlando Sentinel, 5/9/2000, p.D.5"
2000.03.30,Mar,30,2000,australia,queensland,"main beach, gold coast",Unprovoked,Left calf bitten,n,m,Swimming,"T. Peake, GSAF"
2000.03.26,Mar,26,2000,usa,florida,juno beach,Unprovoked,Right knee lacerated,n,f,Boogie boarding,"Stuart News, 3/28/2000; Jupiter Couier, 3/29/2000"
2000.03.24,Mar,24,2000,usa,florida,floridana beach,Unprovoked,Left hand bitten,n,m,Surfing,"Orlando Sentinel, 3/25/2000, p.D.3 "
2000.03.15,Mar,15,2000,new caledonia,north province,poum,Unprovoked,FATAL,y,m,Spearfishing,"Les Nouvelles Caledoniennes, 3/16/2000"
2000.03.14,Mar,14,2000,australia,new south wales,"mcmasters beach, central coast",Unprovoked,No Injury,n,m,Surfing,"Sydney Morning Herald, 3/16/2000 "
2000.02.21,Feb,21,2000,usa,florida,riviera beach,Unprovoked,Right calf bitten,n,m,,"The Palm Beach Post, 2/22/2000"
2000.02.19,Feb,19,2000,south africa,western cape province,struis bay,Unprovoked,Foot bitten,n,m,Body surfing,"C. Creswell, GSAF"
2000.02.14,Feb,14,2000,england,worcestershire,the fountain pub in tenbury wells,Provoked,Fingers bitten PROVOKED INCIDENT,n,m,Feeding prawns to captive sharks,"The Sun (London), 2/17/2000"
1999.12.31.c,Dec,31,1999,new zealand,south island,oreti beach,Unprovoked,Six puncture wounds on  leg,n,m,Surfing,"R.D. Weeks, GSAF; The Otago Daily Times, 1/2/2000"
1999.12.31.b,Dec,31,1999,new zealand,south island,oreti beach,Unprovoked,Arm bitten,n,f,Swimming,"R.D. Weeks, GSAF; The Otago Daily Times, 1/2/2000; Waikato Times, 2/5/2000"
1999.12.31.a,Dec,31,1999,new zealand,south island,oreti beach,Unprovoked,A cut on her hand,n,f,Bathing,"R.D. Weeks, GSAF; The Otago Daily Times, 1/2/2000"
1999.12.26,Dec,26,1999,brazil,pernambuco,"boa viagem beach, recife",Unprovoked,"Leg bitten, surgically amputated",n,m,Surfing,"L. A. Pereira & J. Morris; JC, 12/27/1999"
1999.11.30,Nov,30,1999,usa,florida,palm beach,Unprovoked,Lacerations to hand & wrist,n,m,Surfing,"A. Brenneka, Shark Attack Survivors; The Palm Beach Post,12/3/1999 "
1999.11.23,Nov,23,1999,usa,hawaii,"big island off kona village resort, north kona",Unprovoked,"Buttock bitten, hands lacerated",n,f,Swimming,"G. Kubota, Star Bulletin"
1999.11.15,Nov,15,1999,usa,california,waddell reef,Unprovoked,"No injury, board bitten",n,m,Surfing (sitting on his board),"R. Collier, pp.166-167"
1999.11.13,Nov,13,1999,south africa,kwazulu-natal,umtentweni,Unprovoked,Lower legs lacerated,n,m,Surfing,"G. Cliff, NSB"
1999.10.30.b,Oct,30,1999,usa,florida,daytona beach,Unprovoked,Right foot lacerated,n,m,Body boarding,"S. Petersohn, GSAF"
1999.10.30.a,Oct,30,1999,usa,florida,gulfstream park beach,Unprovoked,"Shark bit 8"" chunk from swim fin",n,m,Body surfing,"C. Lambert, Palm Beach Post, 10/31/1999, p.3C"
1999.10.20,Oct,20,1999,usa,florida,pet den,Unprovoked,Lacerations to right hand & wrist,n,m,Surfing,W. Schauman
1999.09.29,Sep,29,1999,usa,florida,south side of ponce de leon inlet,Unprovoked,3 one-inch lacerations to sole of right foot,n,m,Wading to shore after surfing,"S. Petersohn, GSAF"
1999.09.16,Sep,16,1999,usa,florida,cape canaveral,Unprovoked,Thigh (posterior) bitten,n,f,Wading,"Evening News (Edinburgh, Scotland)"
1999.09.10,Sep,10,1999,usa,south carolina,isle of palms,Unprovoked,Toes lacerated,n,f,Wading,"C. Creswell, GSAF"
1999.08.26,Aug,26,1999,usa,florida,bethune beach,Unprovoked,3-inch laceration to right foot,n,m,Surfing,"S. Petersohn, GSAF; Orlando Sentinel,  8/27/1999, p.D3; Miami Herald, 8/28/1999"
1999.08.24,Aug,24,1999,usa,north carolina,fort fisher,Unprovoked,Foot injured,n,m,Surfing,"Wilmington Star, 8/25/1999, C. Creswell, GSAF"
1999.08.23,Aug,23,1999,marshall islands,ralik chain,kwajalein atoll,Unprovoked,Lacerations to left leg,n,m,Fishing,"Kwajalein Hourglass, 8/27/1999"
1999.08.21,Aug,21,1999,usa,florida,ponce inlet,Unprovoked,Small lacerations to right foot,n,m,Surfing,"S. Petersohn, GSAF"
1999.08.16,Aug,16,1999,usa,south carolina,grand strand,Unprovoked,"Ear lacerated, cuts on scalp, back, arm & shoulder ",n,m,Lying prone in 2' of water,"Charlotte Observer, 8/18/1999, p.4C; J. Kennedy, ProQuest; Sun News (Myrtle Beach), 8/19/1999; Richmond Times Dispatch, 8/19/1999"
1999.07.29,Jul,29,1999,south africa,western cape province,kogebaai,Unprovoked,Right thigh bitten,n,m,Surfing,"A. Gifford, GSAF"
1999.07.26,Jul,26,1999,usa,florida,two miles off key colony beach,Unprovoked,Ankle bitten,n,m,Swimming with dolphins,"M.  Lynch; Miami Herald, 7/28/1999 "
1999.07.21,Jul,21,1999,usa,hawaii,honoli'i in hilo (west side of big island),Unprovoked,Right thigh & buttock bitten,n,m,Surfing,Star Bulletin
1999.07.15,Jul,15,1999,south africa,western cape province,buffels bay (near knysna),Unprovoked,FATAL,y,m,Boogie boarding,"A. Gifford, GSAF"
1999.06.19,Jun,19,1999,usa,florida,11 miles off dog island in the gulf of mexico,Unprovoked,9-inch gash in left foot ,n,m,Adrift in a life jacket,"Orlando Sentinel, 6/21/1999, p.B.3"
1999.06.17,Jun,17,1999,usa,florida,south of ponce inlet,Unprovoked,Right hand and wrist lacerated,n,m,Surfing,"S. Petersohn, GSAF"
1999.06.12,Jun,12,1999,usa,florida,atlantiic beach,Unprovoked,8-inch bite on calf,n,m,Swimming,"Florida Times-Union, 6/13/1999"
1999.05.29,May,29,1999,australia,south australia,"hardwicke bay, yorke peninsula",Unprovoked,"FATAL, body not recovered",y,m,Windsurfing,J. Morris
1999.04.22,Apr,22,1999,mauritius,grand baie,pointe aux canonniers,Unprovoked,Thigh bitten,n,f,Swimming,
1999.04.11,Apr,11,1999,reunion,l' etang salé-les-bains,roche-aux-oiseaux,Unprovoked,FATAL,y,m,Swimming after being swept into sea by a large wave,G. Van Grevelynghe
1999.03.18.R,Mar,18,1999,new zealand,south island,codfish island (whenua hau) west of stewart island,Unprovoked,No injury,n,m,Spearfishing & diving for paua,"Southland Times, 3/18/1999"
1999.03.18.b,Mar,18,1999,brazil,rio grande de norte,atol das rochas,Provoked,Grabbed small shark & it bit him  PROVOKED INCIDENT,n,m,Scientific research (Dr. Sonny Gruber's student),"internet, expedition "
1999.03.18.a,Mar,18,1999,usa,hawaii,"olowalu side of lahina, maui",Unprovoked,"FATAL, arm bitten ",y,f,"Swimming, towing a kayak","L. Fujimoto; G. Kubota,  Star Bulletin"
1999.03.14.b,Mar,14,1999,new caledonia,loyalty islands,ouvea,Unprovoked,Multiple injuries,n,m,Spearfishing,"W. Leander; Les Nouvelles Caledoniennes, 3/15/1999"
1999.03.14.a,Mar,14,1999,new zealand,,,Provoked,Right thigh bitten PROVOKED INCIDENT,n,m,Fishing,"C. Creswell, GSAF"
1999.02.23,Feb,23,1999,australia,new south wales,scotts head,Unprovoked,"Left hand & forearm bitten, board bitten",n,m,Surfing,"Daily Telegraph, 2/24/1999, p.3; Orlando Sentinel, 2/24/1999, p.A10"
1999.01.29,Jan,29,1999,mauritius,,belle-mare,Unprovoked,Legs & torso injured,n,m,Spearfishing,J.M. Langlois
1999.01.13,Jan,13,1999,south africa,eastern cape province,bonza beach,Unprovoked,"No Injury, ski bitten",n,m,Paddle Skiing,The Citizen
1998.12.24,Dec,24,1998,usa,florida,ormond beach,Provoked,Left foot bitten after he accidentally stepped on the shark         PROVOKED INCIDENT ,n,m,Surfing,"S. Petersohn, GSAF; Daytona Beach News Journal, 1/1/1999, p.6C; 9"
1998.12.22,Dec,22,1998,australia,south australia,middleton beach,Unprovoked,2 puncture wounds in left leg,n,f,Standing,"The Advertiser, 12/23/1998, p.3; Daily Telegraph, 12/23/1998, p.17"
1998.12.20.R,Dec,20,1998,south africa,eastern cape province,"king's beach, port elizabeth",Unprovoked,Leg bitten,n,m,Surfing,"G. Cliff, NSB; Sunday Times, 12/20/1998 "
1998.12.18,Dec,18,1998,south africa,eastern cape province,kei river mouth,Unprovoked,Right leg bitten,n,m,Splashing,"Sunday Times, 12/20/1998"
1998.12.15,Dec,15,1998,australia,south australia,middleton beach,Unprovoked,Leg injured,n,f,Surfing,"Animal Attack Files, 12/19/1998"
1998.11.21,Nov,21,1998,usa,florida,ocean beach,Unprovoked,FATAL,y,m,Swimming,E. Ritter. GSAF
1998.11.14,Nov,14,1998,usa,florida,new smyrna beach,Unprovoked,Right foot bitten,n,m,Surfing,"S. Petersohn, GSAF; D. Catron, Orlando Sentinel, 11/19/1998, p.D1; Daytona Beach News Journal, 11/15/1998, p.4C"
1998.11.11,Nov,11,1998,usa,florida,south beach park,Unprovoked,Survived,n,m,Walking,press report
1998.10.24,Oct,24,1998,usa,florida,jupiter beach,Unprovoked,Minor lacerations on right ankle & foot,n,f,Swimming,"Sun Sentinel. Fort Lauderdale, 10/25/1998, p.3B"
1998.10.18,Oct,18,1998,south africa,eastern cape province,glengariff,Unprovoked,"No injury, surfboard bitten",n,m,Surfing,"East London Daily Dispatch, 10/20/1998"
1998.10.10,Oct,10,1998,usa,florida,sebastian inlet,Unprovoked,Right hand bitten,n,m,Surfing,"Sarasota Herald-Tribune, 10/13/1998 "
1998.09.27,Sep,27,1998,usa,florida,the rocks,Unprovoked,Puncture wounds to leg,n,m,Surfing,"The Stuart (FL) News, 9/29/1998"
1998.09.22,Sep,22,1998,usa,florida,new smyrna beach,Unprovoked,Left arm lacerated,n,m,Surfing,"S. Petersohn, GSAF"
1998.09.16.R,Sep,16,1998,south africa,eastern cape province,kowie river,Unprovoked,Laceration to right foot,n,m,Fishing / washing bait off hands,"Daily Dispatch, 9/16/1998"
1998.09.14,Sep,14,1998,usa,florida,stuart beach,Unprovoked,Right foot bitten,n,m,Surfing,"P. Sheth, Fort Pierce Tribune, 9/15/1998"
1998.08.30,Aug,30,1998,usa,florida,ponce inlet,Unprovoked,Toes lacerated,n,m,Surfing,"S. Petersohn, GSAF"
