Case Number,Month,Day,Year,Country,Region,Attack Location,Provoked (Y/N),Injury Description,Fatal (Y/N),Victim_Gender,Activity,Investigator or Source
1977.10.30,Oct,30,1977,south africa,western cape province,"bluegums rock, partridge point",Unprovoked,"No injury, shark bit speargun & pushed diver through the water",n,m,Spearfishing,"A. Hartman; M. Levine, GSAF"
1977.08.31,Aug,31,1977,australia,south australia,"cactus beach, near ceduna",Unprovoked,"Board rammed &  bitten, left thigh lacerated",n,m,Surfing,"The Age, 9/2/1977"
1977.08.23,Aug,23,1977,australia,queensland,"buddina beach, south of noosa",Unprovoked,"FATAL, left arm severed, legs bitten ",y,m,Floating on an inflatable raft,"The Age, 9/1/1977; A. Sharpe, p.104"
1977.08.14,Aug,14,1977,usa,california,mcclure beach,Unprovoked,Leg lacerated,n,m,Free diving for abalone (surfacing),"D. Miller & R. Collier, R. Collier, pp.73-74; J. McCosker & R.N. Lea "
1977.06.26,Jun,26,1977,usa,florida,12 miles northeast of mayport,Provoked,"PROVOKED INCIDENT    Diver poked shark with spear, then shark bit his right foot",n,m,Spearfishing / Scuba diving,"News Tribune, 6/28/1977 & 7/14/1977 "
1977.04.26,Apr,26,1977,australia,queensland,tallebudgera,Unprovoked,Survived,n,m,,"R. McKenzie, Sunday Mail, 9/6/1987, p.11"
1977.04.21,Apr,21,1977,usa,hawaii,"ka'anapali, maui",Unprovoked,Arm bitten,n,m,Swimming,"J. Borg, p.74; L. Taylor (1993), pp.104-105"
1977.03.17,Mar,17,1977,south africa,western cape province,"lappiesbaai beach, stilbaai",Unprovoked,Right foot bitten,n,m,Swimming,"R.J. Lund, M. Levine, GSAF; T. Wallett, pp.41-42"
1977.02.26,Feb,26,1977,australia,new south wales,"kingscliffe beach, south of tweed heads",Unprovoked,"Left hand, arm & leg lacerated, & shark bit chunk out of his surfboard",n,m,"Pushed surfmat of a young girl out of the shark's path, drawing shark's attention to his own board","Ruston Daily Leader, 2/28/1977; A. Sharpe, p.86"
1976.12.29,Dec,29,1976,australia,queensland,caloundra,Unprovoked,Survived,n,m,,"R. McKenzie, Sunday Mail, 9/6/1987, p.11"
1976.12.18,Dec,18,1976,usa,california,san miguel island,Unprovoked,Buttocks & hip bitten,n,m,Hookah diving for abalone (submerged),"D. Miller & R. Collier, R. Collier, pp.72-73; J. McCosker & R.N. Lea"
1976.11.27,Nov,27,1976,south africa,western cape province,clifton,Unprovoked,Torso bitten,n,m,"Thrashing the water / imitating the shark victim from ""Jaws""","G. Spence, M. Levine,  P. Snydercombe, P. Schwartz,  Rousseau,  J. Wallace, R.M. Strover; T. Wallett, pp.42-47"
1976.11.25,Nov,25,1976,usa,florida,delray beach,Unprovoked,"Right arm severed 1"" below elbow with extensive tissue loss 3"" above elbow",n,m,Surfing,"A. Brenneka; E. Pace; NY Times, 11/26/1976, I, p.18, col.6"
1976.10.18,Oct,18,1976,usa,california,moonstone beach,Unprovoked,Leg bitten ,n,m,Surfing,"D. Miller & R. Collier, R. Collier, pp.70-71; J. McCosker & R.N. Lea"
1976.09.19,Sep,19,1976,australia,south australia,"point lowly, north of whyalla",Unprovoked,"Right leg bitten below the knee, left ankle & foot lacerated",n,m,"Skindiving,","A. Sharpe, p.125"
1976.09.12.b,Sep,12,1976,usa,florida,jacksonville,Unprovoked,FATAL,y,m,Swimming,"Washington Post, 9/24/1976"
1976.09.12.a,Sep,12,1976,usa,florida,jacksonville,Unprovoked,FATAL,y,m,Swimming,"Washington Post, 9/24/1976"
1976.08.26,Aug,26,1976,usa,north carolina,emerald isle pier (near morehead city),Unprovoked,Right ankle & foot lacerated,n,m,"Surfing, fell off surfboard","C. Creswell, GSAF; F. Schwartz, p.23"
1976.08.24,Aug,24,1976,usa,oregon,winchester bay,Unprovoked,"No injury, board bitten",n,m,Surfing,"D. Miller & R. Collier; R. Collier, pp.69-70; J. McCosker & R.N. Lea      "
1976.07.24,Jul,24,1976,usa,florida,st. lucie county,Unprovoked,Lacerations to forearms,n,m,Spearfishing,"News-Tribune, 7/27/1976"
1976.07.21,Jul,21,1976,usa,louisiana,scofield - sandy point,Unprovoked,Leg bitten,n,m,Playing,"Amarillo Globe-Times, 7/22/1976"
1976.07.16,Jul,16,1976,usa,hawaii,"maha'ulepu, koloa, kaua'i",Unprovoked,"FATAL, disappeared while diving, lower portion of body recovered",y,m,Scuba diving,"The Argus, 7/19/1976; J. Borg, p.74; L. Taylor (1993), pp.102-103"
1976.07.12,Jul,12,1976,usa,florida,st. lucie county,Unprovoked,"""lost part of a finger""",n,m,Spearfishing,"News-Tribune, 7/27/1976"
1976.06.23,Jun,23,1976,usa,florida,st. andrews state park,Unprovoked,Lacerations to right arm,n,m,Skindiving,"Albuquerque Journal, 6/25/1976 "
1976.06.10,Jun,10,1976,usa,hawaii,"kama'ole beach, park no. 1, kihei, maui",Unprovoked,Leg & foot bitten,n,m,Swimming,"J. Borg, p.74; L. Taylor (1993), pp.102-103"
1976.03.12.b,Mar,12,1976,usa,florida,new smyrna beach,Unprovoked,Lacerations to left leg,n,m,Standing,Winnipeg Free Press. 3/17/1976
1976.01.12,Jan,12,1976,australia,queensland,harvey bay,Unprovoked,Survived,n,f,,"R. McKenzie, Coast Sun, 9/6/1987, p.11"
1975.11.19.b,Nov,19,1975,australia,new south wales,"queenscliff, sydney",Unprovoked,Laceration to posterior thigh,n,m,Standing,"The Age, 11/20/1975"
1975.11.19.a,Nov,19,1975,south africa,kwazulu-natal,"south beach, durban",Unprovoked,Left foot lacerated,n,m,Standing,"G. Charter, B. Davis,  NSB"
1975.10.12,Oct,12,1975,australia,new south wales,"lennox head, ballina",Unprovoked,"Cracked jaw & broken tooth, shark took chunk out of surfboard",n,m,Surfing,"J. Green, p.36"
1975.08.17,Aug,17,1975,south africa,eastern cape province,cape st. francis,Unprovoked,Left leg & surfboard bitten,n,m,Surfing,"D. Robertson, M. Levine, GSAF;  J. Wallace, ORI; T. Wallett, p.40"
1975.08.12,Aug,12,1975,usa,florida,daytona beach,Unprovoked,"Calf bitten, leg surgically amputated below the knee  Note: by late August, 3 more bathers had been bitten by sharks at Daytona Beach",n,m,Floating on a small orange raft ,"NY Times, 8/17/1975, p.27"
1975.07.30.a,Jul,30,1975,australia,tasmania,"fluted cape, bruny island",Unprovoked,FATAL,y,m,Scuba diving for abalone,"Times, 8/1/1975, Yuma Daily Sun, 8/1/1975; C. Black pp. 153-157 "
1975.07.26.a,Jul,26,1975,australia,queensland,maroochydore,Unprovoked,Buttocks & leg bitten,n,m,Surfing,"Bucks County Courier Times, 7/28/1975; Sunday Mail (QLD), 1//7/1996,p.4; J. Green, p.36"
1975.07.23,Jul,23,1975,usa,california,perch rock,Unprovoked,Legs bitten,n,m,Scuba diving for abalone (at surface),"D. Miller & R. Collier; R. Collier, pp.64-65; G. Ambrose, pp.103 & 112      "
1975.07.19,Jul,19,1975,usa,california,point conception,Unprovoked,"No injury, swim fin torn",n,m,Hookah diving for abalone,R. Collier
1975.07.15,Jul,15,1975,usa,florida,new smyrna beach,Unprovoked,Arm lacerated,n,f,Swimming,"E. Ritter, GSAF"
1975.06.23.b,Jun,23,1975,usa,south carolina,windy hill,Unprovoked,Lacerations to right foot,n,m,Swimming ,"Morning Herald (Uniontown, PA), 7/2/1975"
1975.06.23.a,Jun,23,1975,usa,south carolina,north myrtle beach,Unprovoked,Hand & wrist bitten,n,f,Standing,"Morning Herald (Uniontown, PA), 6/26/1975"
1975.06.15,Jun,15,1975,usa,alabama,5 miles off the coast,Unprovoked,Left leg bitten,n,m,Swimming near his boat,"The News, 6/16/1975"
1975.05.25,May,25,1975,usa,florida,new smyrna beach,Unprovoked,Right foot bitten,n,m,Surfing,"Sumter Daily Item, 7/9/1975"
1975.05.20,May,20,1975,usa,florida,daytona beach,Unprovoked,Leg bitten,n,f,Bathing,"Pacifc Stars and Stripes, 6/3/1975"
1975.03.18,Mar,18,1975,australia,queensland,mornington island,Unprovoked,Hand bitten,n,f,,"R. McKenzie, Sunday Mail, 9/6/1987, p.11"
1975.03.16,Mar,16,1975,usa,florida,clearwater beach,Unprovoked,Left leg & foot bitten,n,m,Floating in inner tube,"News Tribune, 5/17/1975"
1975.02.23,Feb,23,1975,south africa,kwazulu-natal,"inyoni rocks, amanzimtoti",Unprovoked,Foot severed,n,m,Surfing,"S. Jooste; B.R. Jones, M. Levine, GSAF; T. Wallett, pp.22-24"
1975.02.10,Feb,10,1975,australia,south australia,(point sinclair) penong,Unprovoked,Right leg  severed FATAL,y,m,Swimming underwater from crayfish cage to a fishing bait," A. Sharpe, pp.124-125; Sydney Morning Herald, 2/3/2001 ed."
1975.01.19,Jan,19,1975,australia,south australia,coffin bay,Unprovoked,"FATAL, body not recovered",y,m,Surfing,"J. West; Adelaide Advertiser, 1/20/1975; P. Kemp, GSAF"
1974.09.28,Sep,28,1974,usa,california,north of point sur,Unprovoked,"Thigh, lower back and surfboard bitten",n,m,Surfing,"D. Miller & R. Collier, R. Collier, pp.59-62, J.  McCosker & R. N. Lea"
1974.09.14,Sep,14,1974,usa,california,"north farallon island, farallon islands",Unprovoked,Major injuries,n,m,Hookah diving for abalone,"D. Miller & R. Collier, R. Collier, pp.57-59; J. McCosker & R.N. Lea"
1974.08.23,Aug,23,1974,hong kong,mirs bay,,Unprovoked,Survived,n,m,Freedom Swimming,"Washington Post, 8/24/1974,p.D6"
1974.08.16.c,Aug,16,1974,hong kong,mirs bay,,Unprovoked,FATAL,y,m,Freedom swimming,"A. MacCormick, p.157"
1974.08.16.b,Aug,16,1974,hong kong,mirs bay,,Unprovoked,Arm broken & severely lacerated,n,m,Freedom swimming,"A. MacCormick, p.157"
1974.08.16.a,Aug,16,1974,hong kong,mirs bay,,Unprovoked,Left foot bitten,n,m,Freedom swimming,"A. MacCormick, p.157"
1974.08.10,Aug,10,1974,croatia,split-dalmatia county,"lokva rogoznica, omis",Unprovoked,Foot severed FATAL,y,m,,A. De Maddalena;      R. Rocconi
1974.07.26,Jul,26,1974,usa,california,albion cove,Unprovoked,Minor bite on heel & swim fin bitten,n,m,Free diving for abalone (submerged),"D. Miller & R. Collier, R. Collier, pp.54-56; J. McCosker & R.N. Lea"
1974.07.20,Jul,20,1974,usa,georgia,back river,Unprovoked,FATAL,y,m,Swimming,"Rome News Tribune, 7/31/1974"
1974.06.20,Jun,20,1974,usa,florida,new smyrna beach,Unprovoked,Lacerations to hip and leg,n,f,Swimming,"Daytona Beach Morning Journal, 6/21/1974"
1974.05.26,May,26,1974,usa,california,tomales point,Unprovoked,Leg bitten,n,m,Free diving (but on surface),"D. Miller & R. Collier, R. Collier, p.53; J. McCosker & R.N. Lea"
1974.04.20,Apr,20,1974,south africa,western cape province,arniston,Unprovoked,Left knee lacerated,n,m,Spearfishing,"A. Hartman, M. Levine, GSAF; Cape Argus, 4/26/1974"
1974.04.14,Apr,14,1974,south africa,eastern cape province,glengariff,Unprovoked,Lower right leg lacerated,n,m,Standing,"S. Parkin, M. Levine, GSAF; T. Wallett, p.40"
1974.04.12,Apr,12,1974,usa,florida,haulover beach,Unprovoked,Foot bitten,n,f,Swimming,"Chicago Tribune, 4/13/1974"
1974.03.21,Mar,21,1974,south africa,kwazulu-natal,amanzimtoti,Unprovoked,"No injury, surfboard bitten",n,m,Surfing,"J. Gurr, M. Levine, GSAF; G. Charter, NSB; T. Wallett, p.20"
1974.02.13.b,Feb,13,1974,south africa,kwazulu-natal,"inyoni rocks, amanzimtoti",Unprovoked,"Right calf removed, leg surgically amputated below the knee",n,m,Swimming,"D. Kendrick, S. Jooste, G. Charter, B. Davis,  M. Levine, GSAF; T. Wallett, pp.18-19 "
1974.02.13.a,Feb,13,1974,south africa,kwazulu-natal,"inyoni rocks, amanzimtoti",Unprovoked,Right shin lacerated,n,m,Swimming,"J. Kool, S. Jooste; M. Levine, GSAF"
1974.01.13,Jan,13,1974,south africa,kwazulu-natal,cape vidal,Unprovoked,2 minor lacerations in foot,n,m,Sitting,"Daily News (Durban), 1/29/1974; GSAF"
1973.12.25,Dec,25,1973,mozambique,gaza,xai xai,Unprovoked,"Right leg severed at knee, abrasion on left ankle",n,m,Spearfishing,"J. Bass; M Levine, GSAF"
1973.12.21.b,Dec,21,1973,mozambique,gaza,xai xai,Unprovoked,FATAL,y,m,Swimming ,Natal Witness Newspaper
1973.12.19.R,Dec,18,1973,philippines,luzon,,Unprovoked,FATAL,y,m,Swimming,"Washington Post, 12/19/1973"
1973.12.18,Dec,18,1973,usa,hawaii,"kalama beach, kihei, maui",Unprovoked,Leg bitten,n,m,Swimming,"J. Borg, p.74; L. Taylor (1993), pp.102-103"
1973.11.24,Nov,24,1973,usa,florida,ormond by the sea,Unprovoked,Foot bitten,n,m,Surfing,"Daytona Beach Sunday News-Journal, 11/25/1973"
1973.09.14,Sep,14,1973,bahamas,grand bahama island,"memory rock, 18 miles from nw end of the island",Unprovoked,Left hand & forearm lacerated,n,m,"Free diving, Spearfishing","M.Vorenberg, GSAF"
1973.09.10.R,Sep,10,1973,hong kong,mirs bay,,Unprovoked,FATAL,y,m,Freedom Swimming,"Charleston Daily Mail, 9/10/1973"
1973.08.25,Aug,25,1973,australia,queensland,"point lookout, stradbroke island",Unprovoked,Right foot severed,n,m,Surfing,"L.A. Times, 8/16/1973, p.B4; R. McKenzie, Sunday Mail, 9/6/1987, p.11; J. Green, p.36"
1973.08.16,Aug,16,1973,usa,virginia,false cape,Unprovoked,Elbow bitten,n,m,Crabbing (spearing crabs),"A. MacCormick, p.11, cites New Orleans Times-Picayune, 8/17/1983 "
1973.06.13,Jun,13,1973,hong kong,,,Unprovoked,"One man was killed by a shark, the other was injured",n,m,Freedom Swimming,"The Age, 6/15/1973"
1973.03.26,Mar,26,1973,australia,queensland,palm island,Unprovoked,Survived,n,m,,"R. McKenzie, Sunday Mail, 9/6/1987, p.11"
1973.01.21,Jan,21,1973,south africa,kwazulu-natal,durban,Provoked,Hooked & gaffed shark bit his right elbow PROVOKED INCIDENT,n,m,Fishing from paddleski,"M. Levine, GSAF"
1972.12.31,Dec,31,1972,south africa,western cape province,millers point,Unprovoked,Lower left leg & foot bitten,n,m,Treading water,"J. Bass & A. Heydorn; Cape Argus, 1/2/1973"
1972.12.26,Dec,26,1972,mozambique,gaza,xai xai,Unprovoked,"Hip, leg, arm, hand & shoulder bitten",n,m,Swimming,GSAF
1972.12.25,Dec,25,1972,mexico,guerrero,"revolcadero beach, acapulco",Unprovoked,"FATAL, hand severed, right leg and torso bitten ",y,m,Body surfing,"The Gleaner, 1/3/1973; A. Resciniti, p.109"
1972.12.24,Dec,24,1972,south africa,western cape province,hartenbos,Unprovoked,"No injury, swim fin bitten",n,m,Swimming,"J. Bass, ORI; M. Levine, GSAF"
1972.12.22,Dec,21,1972,australia,queensland,currumbin rock,Unprovoked,Hand bitten,n,m,,"Canberra Times, 12/23/1972"
1972.10.22,Oct,21,1972,australia,queensland,"stevens reef, 70 miles from mackay",Unprovoked,Right arm bitten,n,m,Spearfishing,"R. McKenzie, Sunday Mail, 9/6/1987, p.11"
1972.10.21,Oct,21,1972,australia,new south wales,tabourie beach,Unprovoked,Lacerations to thigh & buttocks,n,m,Surfing,"The Age, 10/23/1972"
1972.10.14.b,Oct,14,1972,usa,us virgin islands,"st. croix, cane bay",Unprovoked,"FATAL, body not recovered",y,m,Scuba diving,"H.D. Baldridge, pp.177 & 185"
1972.10.14.a,Oct,14,1972,usa,florida,new smyrna beach,Unprovoked,Survived,n,m,Surfing,"Daytona Beach Morning Journal, 10/18/1972"
1972.10.10.R,Oct,10,1972,new zealand,north island,wanganui,Unprovoked,"No injury, leg of jeans torn off",n,m,Swimming,"European Stars and Stripes, 10/10/1973 "
1972.08.29,Aug,29,1972,usa,florida,crescent beach,Unprovoked,Left calf bitten,n,m,Surfing,"Ocala Star Banner, 8/30/1972"
1972.08.17,Aug,17,1972,usa,hawaii,"waimanu, honoka'a, hawai'i",Unprovoked,Forearm bitten,n,m,Spearfishing,"J. Borg, p.74; L. Taylor (1993), pp.102-103"
1972.06.26.b,Jun,26,1972,australia,queensland,pancake creek,Unprovoked,FATAL,y,m,,"Canberra Times, 6/26/1972"
1972.06.26.a,Jun,26,1972,australia,queensland,pancake creek,Unprovoked,FATAL,y,m,,"Canberra Times, 6/26/1972"
1972.06.10,Jun,10,1972,usa,florida,cocoa beach,Unprovoked,Buttocks bitten,n,m,Surfing,P. Salick
1972.05.28,May,28,1972,usa,california,bird rock,Unprovoked,Bitten on legs & buttock,n,m,Free diving for abalone,"D. Miller & R. Collier, R. Collier, pp.48-50; Evening Tribune (San Diego) 7/17/1972; H.D. Baldridge, p.78; J. McCosker & R.N. Lea "
1972.04.16,Apr,16,1972,western samoa,upolu island,nuulua,Unprovoked,FATAL,y,m,Swimming,J. Gregory
1972.03.21,Mar,21,1972,pacific ocean,,,Provoked,Arm bitten by hooked shark PROVOKED INCIDENT,n,m,Fishing,NY Times 4/2/1972
1972.03.16,Mar,16,1972,usa,hawaii,"waihe'e, wailuku, maui",Unprovoked,Leg bitten,n,m,Spearfishing,"J. Borg, p.74; L. Taylor (1993), pp.102-103"
1972.02.20,Feb,20,1972,australia,victoria,"wilson's promontory, waratah bay",Unprovoked,Laceration above knee,n,m,Surfing,"Sydney Morning Herald, 2/21/1972 "
1971.12.16,Dec,16,1971,south africa,western cape province,"fish hoek, false bay",Unprovoked,Right forearm bitten,n,f,Swimming,"C. Teague,  M. Levine, GSAF; A. Heydorn, ORI; T. Wallett, p.40"
1971.11.27,Nov,25,1971,hong kong,mirs bay,,Unprovoked,"Left leg severely bitten, surgically amputated",n,m,Freedom Swimming,"The Advocate, 11/25/1971; Post Crescent, 11/28/1971"
1971.10.23,Oct,23,1971,usa,florida,ft. pierce,Unprovoked,"Right shoulder, arm & hand bitten",n,m,Surfing,"News Tribune, 10/25/1971 "
1971.10.14,Oct,14,1971,south africa,kwazulu-natal,"north beach, durban",Unprovoked,Wrist & hand lacerated,n,m,Swimming,J. Bass
1971.08.21,Aug,21,1971,australia,new south wales,"manly marineland, sydney",Provoked,Eight puncture wounds to right leg by captive shark PROVOKED INCIDENT,n,m,Scuba diving & feeding fish,"Sydney Morning Herald, 8/22/1971"
1971.07.26,Jul,26,1971,usa,florida,daytona beach,Unprovoked,Laceration to left ankle,n,m,Wading,"Miami News, 7/27/1971"
1971.07.19,Jul,19,1971,usa,california,point purisima,Unprovoked,"Major injuries to head, buttocks & back",n,m,Hookah diving (submerged),"D. Miller & R. Collier, R. Collier, pp.51-52; J. McCosker & R.N. Lea"
1971.06.30,Jun,30,1971,south africa,western cape province,mossel bay,Unprovoked,Leg & surfboard bitten,n,m,Surfing,"G. Scheltema, M. Levine, GSAF; J. Bass, ORI"
1971.04.16R,Apr,16,1971,kenya,coast province,watamu,Unprovoked,Right foot bitten,n,m,Swimming,M. v. Schoor
1971.04.11,Apr,11,1971,south africa,western cape province,buffels bay,Unprovoked,"FATAL, multiple bites ",y,m,Swimming,"J. Wallace, ORI; M. Levine, GSAF; T. Wallett, pp.39-40"
1971.03.30,Mar,30,1971,new zealand,south island,dunedin,Unprovoked,Lacerations to left leg ,n,m,Surfing,"B. Watkins, R. D. Weeks, GSAF "
1970.12.17,Dec,17,1970,mozambique,inhambe province,"inhasoka, inhambe bay",Unprovoked,"FATAL, arm severed  ",y,m,Fishing for prawns,"GSAF; H.D. Baldridge, p.22"
1970.12.13,Dec,13,1970,mozambique,inhambe province,"inhambe bay estuary, 10 to 12 miles inland from the sea",Unprovoked,"FATAL, decapitated and arm severed",y,m,Fishing for prawns,"GSAF; H.D. Baldridge, p.22"
1970.10.24,Oct,24,1970,usa,hawaii,"brennecke beach, po'ipu, kaua'i",Unprovoked,Shoulder & arm bitten,n,m,Body surfing,"J. Borg, p.74; L. Taylor (1993), pp.102-103"
1970.09.28,Sep,28,1970,micronesia,eastern caroline islands,truk lagoon,Unprovoked,Lacerations & punctures to right arm & shoulder ,n,m,Diving,R.S. Jones
1970.09.13,Sep,13,1970,palau,western caroline islands (north pacific ocean),outside barrier reef,Provoked,"Another diver shot shark, shark bit his left foream  PROVOKED INCIDENT",n,m,Spearfishing,"K.R.H. Read; H.D. Baldridge, p.192"
1970.06.22,Jun,22,1970,usa,florida,dania,Provoked,Bitten on calf by hooked shark PROVOKED INCIDENT,n,m,Fishing,Bridgeport Post 6/22/1970
1970.06.15,Jun,15,1970,south africa,kwazulu-natal,"shark tank, oceanographic research institute, durban",Provoked,2 cm laceration on knee PROVOKED INCIDENT,n,m,Scuba Diving,"D. Davies; A.J. Bass, ORI"
1970.06.13.b,Jun,13,1970,grenada,st. andrew parish,grenville,Unprovoked,"FATAL, multiple injuries to both legs  ",y,m,Wading,"E. Pace, FSAF"
1970.06.13.a,Jun,13,1970,grenada,st. andrew parish,grenville,Unprovoked,"FATAL, body not recovered",y,m,Wading,"E. Pace, FSAF"
1970.03.23,Mar,23,1970,usa,florida,manatee county,Unprovoked,Foot & calf lacerated,n,m,Wading,H.D. Baldridge (1994) SAF Case #1620
1970.01.23.d,Jan,23,1970,mozambique,limpopo river,3.2 km inland,Unprovoked,"Hands severed, forearm severely lacerated",n,m,Swimming,"Natal Daily News, 2/4/1970; D. Davies"
1970.01.23.c,Jan,23,1970,mozambique,limpopo river,"gijana, 150 km inland",Unprovoked,Leg severed at knee,n,m,Swimming,"Natal Daily News, 2/4/1970; D. Davies"
1970.01.23.b,Jan,23,1970,mozambique,limpopo river,"gijana, 150 km inland",Unprovoked,"Arm severed, thigh bitten",n,m,Swimming,"Natal Daily News, 2/4/1970; D. Davies"
1970.01.23.a,Jan,23,1970,mozambique,limpopo river,"gijana, 150 km inland",Unprovoked,Leg severed at knee,n,m,Swimming,"Natal Daily News, 2/4/1970; D. Davies"
1970.01.10,Jan,10,1970,mexico,guerrero,acapulco,Unprovoked,Leg bitten,n,m,Swimming,"A. Resciniti, p.110"
1969.11.30,Nov,30,1969,australia,western australia,"swan river, 13 miles upstream",Unprovoked,Left thigh lacerated,n,m,Swimming,"Sydney Morning Herald, 12/1/1969 "
1969.11.11,Nov,11,1969,usa,hawaii,"barbers point, o'ahu",Unprovoked,"Abrasions on upper leg, laceration on ankle, scuba tank bitten",n,m,Scuba diving for lobsters,"H.D. Baldridge, p.185; J. Borg, p.74;  L. Taylor (1993), pp.102-103"
1969.10.14,Oct,14,1969,usa,hawaii,hawaii,Unprovoked,No injury,n,m,Diving,H.D. Baldridge (1994) SAF Case #1579
1969.08.29,Aug,29,1969,usa,florida,north beach,Unprovoked,Laceration to right leg,n,m,Floating on his back,"News Tribune, 8/30/1969"
1969.08.22,Aug,22,1969,usa,massachusetts,40 miles south of nantucket,Provoked,Leg bitten by netted shark PROVOKED INCIDENT,n,m,Fishing,"Portsmouth Herald, 8/23/1969"
1969.07.27,Jul,27,1969,england,,,Provoked,Arm lacerated. Recorded as PROVOKED INCIDENT,n,m,,H.D. Baldridge (1994) SAF Case #1611
1969.07.22,Jul,22,1969,usa,florida,florida keys,Provoked,Scrape on head. Recorded as PROVOKED INCIDENT,n,m,,H.D. Baldridge (1994) SAF Case #1603
1969.07.20,Jul,20,1969,usa,california,pigeon point,Unprovoked,"Foot bitten, minor injury",n,m,Freediving for abalone (at surface),"D. Miller & R. Collier; R. Collier, p. 42"
1969.06.12,Jun,12,1969,jamaica,clarendon,off rocky point,Unprovoked,Multiple lacerations,n,m,Diving,"The Gleaner, 6/20/1969"
1969.05.25,May,25,1969,usa,texas,packery channel,Provoked,Foot lacerated when he stepped on the shark  PROVOKED INCIDENT,n,m,Surf-fishing,"Corpus Christi Times, 5/26/1969; H.D.Baldridge (1994) SAF Case #1629"
1969.05.24,May,24,1969,usa,florida,sarasota county,Provoked,Laceration to buttocks Recorded as PROVOKED INCIDENT,n,m,Diving,H.D.Baldridge (1994) SAF Case #1596
1969.04.19,Aug,19,1969,usa,florida,marathon,Provoked,Laceration to foot from dead shark PROVOKED INCIDENT,n,m,Fishing,"Tri-City Herald, 4/21/1969"
1969.03.25,Mar,25,1969,australia,new south wales,newcastle,Provoked,Foot lacerated. Recorded as PROVOKED INCIDENT,n,m,,H.D.Baldridge (1994) SAF Case #1612
1969.02.17.R,Feb,17,1969,australia,tasmania,taroona,Provoked,Lacerations to hand from hooked shark PROVOKED INCIDENT,n,m,Fishing,"C. Black, GSAF"
1969.01.27,Jan,27,1969,australia,new south wales,beecroft head,Unprovoked,Abrasions and lacerations to lower right leg,n,m,Freediving,H.D.Baldridge (1994) SAF Case #1560
1968.12.26,Dec,26,1968,australia,new south wales,"marineland aquarium, manley, sydney",Provoked,Laceration to finger by a captive shark PROVOKED INCIDENT,n,m,Feeding mullet to sharks,"The Age, 12/27/1968"
1968.12.25,Dec,25,1968,new zealand,south island,"st. clair beach, dunedin",Unprovoked,"Hit in face by shark, arm abraded, surfboard bitten",n,m,Surfing,"R. D. Weeks, GSAF; Otago Daily Times, 12/26/1968"
1968.10.29,Oct,29,1968,bahamas,,,Provoked,Calf injured Recorded as PROVOKED INCIDENT,n,m,,H.D. Baldridge (1994) SAF Case #1565
1968.10.13,Oct,13,1968,usa,florida,egmont key,Unprovoked,Swim fin bitten,n,m,Spearfishing using Scuba,"H.D. Baldridge, p.185"
1968.09.15,Sep,15,1968,new zealand,south island,otago harbor,Unprovoked,"FATAL, left leg bitten, femoral artery severed  ",y,m,Spearfishing,"R.D. Weeks, GSAF; Otago Daily Times, 9/16/1968; H.D. Baldridge, pp.18-19"
1968.08.21,Aug,21,1968,usa,florida,okaloosa county,Unprovoked,Leg & arm bitten,n,m,Standing,"Brownsville Herald, 8/14/1968; H.D.Baldridge, SAF Case  #1553"
1968.08.13,Aug,13,1968,french polynesia,society islands,tahiti,Unprovoked,Finger severed,n,m,Swimming,"H.D.Baldridge, SAF Case #1531"
1968.07.27,Jul,27,1968,usa,california,bodega rock,Unprovoked,Major injury to torso,n,m,Free diving,"D. Miller & R. Collier; R. Collier, pp.41-42; H.D. Baldridge, p.76, 138, 191, 194, 206"
1968.07.23,Jul,23,1968,usa,florida,florida keys,Unprovoked,Abrasions on lower leg,n,m,Wading,"H.D.Baldridge, SAF Case #1542"
1968.07.16,Jul,16,1968,usa,south carolina,stono inlet,Unprovoked,Swimfin & knee bitten,n,m,Spearfishing using Scuba,"H.D.Baldridge, p.284"
1968.07.10,Jul,10,1968,bahamas,great exuma island,children's bay cay near rollerville,Unprovoked,"FATAL, taken by shark  ",y,m,Small boat with 2 men onboard hit a submerged coral formation. Men began swimming to shore,"Reported by F.S.T. Baker to M. Vorenberg, pp.154-155"
1968.06.25,Jun,25,1968,bahamas,eleuthera,spanish wells,Unprovoked,"Bumped shoulder, bit head",n,m,Spearfishing,"H.D. Baldridge, p.260; Clark, p.87"
1968.04.20,Apr,20,1968,usa,florida,palm beach shores,Unprovoked,"Buttock, both legs & arm bitten",n,m,,"M. Vorenberg, GSAF; R. Skocik, pp.168-169; H.D. Baldridge, p.203; Note: A. Resciniti, p.35, also refers to an earlier attack on a snorkeler. The shark bit the boy's calf and both swim fins."
1968.04.15,Apr,15,1968,australia,new south wales,south coast,Unprovoked,Hand lacerated,n,m,"Diving. Shark swallowed his hand, so he threw his other around the shark and went shark-back riding for 30 yards until the shark opened its jaws","Sydney Morning Herald, 4/28/1968 "
1968.04.11.R,Apr,11,1968,papua new guinea,gulf province,orokolo bay,Unprovoked,FATAL Laceration to chest,y,m,Swimming,"The Age, 4/11/1968, p.4"
1968.03.25,Mar,25,1968,south africa,kwazulu-natal,richards bay,Unprovoked,Left thigh lacerated,n,m,Wading & pushing dinghy toward  the shallows,"J. Bass, H.A. Jones, A. Heydorn & D. Illing"
